Right_Ascension,Declination,TESSmag,Ecliptic_Longitude,Ecliptic_Latitude,TIC_ID,
220.232448453436,-26.4286753714197,6.9139,225.990733243886,-10.269982222025,42969,
221.501739878067,-25.4448501336336,6.524,226.788812924355,-8.98481465310263,82063,
221.499631798336,-25.4436425332737,4.8331,226.786606671853,-8.98423744592144,82066,
219.920772931817,-26.7238524648442,6.5233,225.814105677102,-10.6369387342842,34920,
220.806356945659,-24.9977915175136,5.70412,226.044917020492,-8.74948263932308,58487,
220.104510022294,-26.2557265108423,6.94545,225.82565863566,-10.1408990103145,39896,
221.843946854994,-25.6243239259761,5.63724,227.141650595574,-9.06307881629955,93155,
222.914142352489,-24.3059907783374,6.8532,227.682251780174,-7.51612586054393,129383,
221.989798692437,-26.6461871533167,5.7771,227.57929710608,-9.99853056417473,99010,
222.120373544895,-25.4862990552027,6.5472,227.340711525966,-8.8567321572958,102030,
278.839026453868,-20.8404669157495,6.2041,278.263535074828,2.3456191873607,368759,
274.967237410399,-11.2876653711218,6.8239,274.981249009642,12.0657662803011,16560023,
137.205836465866,-10.7579762382887,6.5758,143.261285023901,-25.896363884713,20066082,
88.9299557926038,-38.1044733439368,6.9963,88.2331159261385,-61.5371915123796,20072435,
226.646095943419,36.4562480351803,5.8585,208.533265179276,51.0605343237019,20204058,
7.74943048274265,-10.0847811967314,6.66658,3.05994040708172,-12.3254286421692,40102926,
59.3687794912545,-1.16007930445156,6.9845,56.8939296126824,-21.1479874406979,49934962,
183.117560926511,-3.08267313248305,6.797,184.085429007041,-1.58944230902274,56812239,
205.897346647208,14.3655722884672,6.3181,198.376660651715,23.3243329360095,72461450,
42.768496421881,30.2865981236008,6.9964,49.361284924186,13.2658627012144,77490014,
299.923002931273,-1.97053467792302,6.67599,301.662613571302,18.2401119121123,558452,
203.296104976892,-8.44314337418582,6.7596,204.671319337023,1.19740975147928,619444,
203.351835012799,-7.62259386494051,6.7256,204.422747771116,1.98137869607201,619638,
71.6072650472383,-28.0873705109314,6.0205,64.3923498449185,-49.9043867119749,589826,
203.574037674124,-11.5376054378499,6.7248,206.055751700993,-1.5836588273935,621750,
73.8758235923377,-25.7276596799034,6.4659,68.0674349193125,-47.9466456017724,681678,
300.544062022864,-4.98981390531804,6.54295,301.636205088761,15.1579680841256,748290,
90.763332448271,-37.5469904606369,6.6917,91.2477655392192,-60.9829650325773,20297048,
90.7846574601961,-36.8729170045042,6.9613,91.2673369629168,-60.3087459070477,20297375,
276.178800905247,-6.60395915471839,6.8905,276.408971319274,16.6979641761934,20278256,
229.087592558775,37.0696437382138,6.5237,210.957601987266,52.4571978620499,20304188,
167.182954317436,-28.0807493458318,5.4063,180.510533557818,-30.6457001993261,20319492,
168.006268965518,-26.1369500633719,6.3527,180.265358010846,-28.5793188346067,20416870,
127.15551978176,14.2107714594066,5.76708,125.978490212605,-4.70894852023236,20420151,
168.301981057476,-26.465025052582,6.9985,180.702027111342,-28.7557094460937,20427136,
85.7236114275257,18.980309503205,6.68939,85.9445637295097,-4.39879068792854,20402401,
293.228785627441,31.2361371943984,6.27242,303.237023971854,52.0286943043145,40295987,
293.3604476503,33.2028347326318,6.0514,304.268816442491,53.8979973044874,40468289,
279.476770961981,-21.3980194630059,5.76552,278.822285720149,1.75150107842428,842202,
135.93080576538,-5.17134748842668,6.86785,140.035605882348,-20.991846771646,915512,
328.123713922644,-9.41807259295129,6.7697,327.046540622898,3.27308715980762,887930,
284.388457932145,32.9896258163625,6.6169,291.510992445698,55.3595228875513,20610859,
284.257661110114,32.9007393239218,4.746,291.293941725197,55.2909620372675,20601206,
174.667148190329,-13.2013996551945,4.9918,180.462425540153,-14.2127171440347,40535161,
247.825743616309,-7.92099394364593,6.8417,247.361062594812,13.7925491844557,40671033,
248.004306110377,-9.6959724549482,6.8246,247.819442104512,12.0656712730082,40676045,
330.637257250375,-32.1336443758376,6.137,321.240131930896,-18.8347163050391,80080066,
165.810497425485,-0.752823033119367,5.8731,167.233029081528,-6.28955622900479,1008153,
166.08015508742,-1.27824806860934,6.84497,167.688440596523,-6.66903679771391,1026619,
130.540755758346,-11.9660645522638,6.3199,136.680762319569,-29.0742891686915,1038216,
33.8679291715077,-9.46654944894852,6.53279,28.1867487897511,-21.688146611435,1030004,
34.0672764005172,-9.82141347978425,6.3402,28.2487431978559,-22.0896976864704,1031383,
154.236816840081,25.8594429081984,6.9973,146.699759814862,14.1576860597917,1043986,
329.414014496899,-8.5642982524096,6.82481,328.53834398565,3.64150688243348,1023759,
154.059776335766,29.3103759616932,5.521,145.214697852515,17.3026627365567,1042770,
154.116686889747,28.6820708012899,5.8706,145.50884213508,16.7386251565903,1042868,
154.543690320597,27.4155233282213,6.57886,146.365457529675,15.7043886165361,1066957,
41.13846882286,46.8410034555689,6.4933,53.7676375841595,29.3578301519992,20704462,
336.517764489088,25.9276029992146,6.9962,349.366762735818,32.9360032207943,20749811,
284.761113598903,33.1171768036806,6.87401,292.091952989045,55.4300244610668,20779517,
248.232329458813,-10.562414226903,6.57,248.179911637607,11.2431912729475,40785206,
330.821767181922,-29.9046624172929,6.8148,322.24832001708,-16.8167239815196,80080623,
73.4020579105173,25.3662426278006,6.92793,75.0237522258763,2.7857721558809,60338633,
105.216594398314,-19.4444117073665,6.98896,109.410393902254,-41.863777503129,80140747,
164.767832239622,-53.5391077224036,6.3027,197.124386890055,-53.1304028426517,80144740,
35.8424588563332,-6.19288872134033,6.7078,31.3622194828913,-19.3013620303933,1099837,
37.1938959864615,-11.3469021794715,6.6444,30.7969981413782,-24.5996586307515,1129777,
71.4571637371724,-34.0049328528846,6.8472,62.1345090343245,-55.6645213986408,1218962,
284.712789915272,30.1814803792368,6.2232,291.162454139746,52.5452783895118,20785413,
256.116421442727,-28.5838342001676,5.8611,257.774322839369,-5.73187612740624,20856917,
1.60410927287186,-18.0382473262443,6.93357,354.068462075586,-17.138823703043,20898043,
337.058036323382,24.7926207523488,6.80422,349.306581957121,31.7015268533322,20881700,
319.796676169527,17.8219623230133,6.3229,328.700913310768,31.6850026978397,60446208,
103.827597416576,25.3757997435845,5.2014,102.483182951149,2.53374814155049,80226651,
103.678273043755,24.2451409260453,6.3103,102.455221102318,1.39533738292665,80224448,
96.6158072478439,-19.3250405507911,6.95793,98.4893663000825,-42.5695530890668,60528368,
74.0648011832229,24.5921568650053,5.9753,75.5348690407625,1.94952405392919,60512365,
6.55147204082075,-43.6796905991083,3.8061,344.518226705813,-41.7944240449433,80256268,
8.58168036683498,-42.4311679319267,6.7353,347.086525673294,-41.5167435106106,80337807,
165.034037492829,-51.8177943400867,6.0161,195.552575055054,-51.6916532553848,80302288,
9.61384179432388,-45.9010477042477,6.9174,345.376020698761,-44.8383885199046,80362876,
137.542945038482,-16.8625894805641,6.6815,145.940104435424,-31.5410853809178,1257898,
72.4679124560461,-35.1081212860966,6.6763,63.1560101353359,-56.9249473599004,1271818,
131.45515348228,-25.3880244636645,6.00671,143.001425813128,-41.506061747923,1261860,
73.5181964004031,-35.4038396656358,6.8885,64.5837970712953,-57.3977799687415,1334907,
287.195276573623,-25.0793254534273,6.82467,285.546855137808,-2.56332957790074,1328422,
10.1397855177628,-23.8064179042529,5.4621,359.186901890015,-25.7477605218622,20926643,
72.9764015528113,-34.2386214268839,6.1853,64.2350561130862,-56.1652800813176,1309015,
7.59427210568153,-23.7876233156653,5.0744,356.87679170566,-24.7189524637832,20923202,
27.1723194307562,32.691487129205,5.2464,37.1590646627141,20.0395839890184,20931913,
34.7375078692916,28.6426792271483,5.2847,42.005055313225,13.9377776890398,20965412,
233.586294858137,-5.69506981527845,5.969,232.657011790976,13.1491218252153,20997718,
329.234761523063,12.0764338241112,5.50247,335.909080499079,23.0118052714073,60595351,
138.108458821259,-7.10975925245656,5.9058,142.89922728901,-22.155376913365,60658382,
165.207264260151,-52.0750179475575,6.8381,195.945885477215,-51.8269287868971,80378063,
11.2371943279564,-42.676971784602,5.6575,349.151081293487,-42.7590412813016,80430415,
11.4411420246426,-47.5516438395263,5.2155,345.532219369618,-46.9074624779375,80431620,
10.4899328301801,-43.1248328479384,6.7302,348.194543543607,-42.8466924617669,80427243,
165.208792939746,-49.0200969743542,6.9921,193.026214690751,-49.3972803685382,80384789,
12.5157539175952,-43.3948707589367,6.2205,349.708333145685,-43.8655151254189,80474886,
10.4006574288333,24.6289561018411,5.85261,19.4841210459295,18.4860486438274,80474910,
15.6488008553461,27.7479934555889,6.4429,25.3762284496861,19.4027705221874,80512849,
140.231551318895,-15.618286249145,5.8595,148.246973802084,-29.4766239016529,1399933,
149.415356903784,-16.5222548356165,6.3157,157.942121972587,-27.0621566007572,1521462,
186.696384075447,-48.9135415050553,5.6466,209.555509913335,-41.3792353212796,21113446,
36.7416699726555,26.0407042782037,6.4526,42.8444124528892,10.8936372498127,21178283,
275.950085481132,53.300790479078,6.2358,285.302325190763,76.4238599228273,21162252,
256.181257911188,-25.6457236942303,6.3663,257.550518219642,-2.80168460615509,21190402,
91.539234537041,-66.0394998092697,5.7525,140.594095951359,-89.1910558917503,41232189,
92.1838129828241,-68.8433298048395,5.1323,251.055965482238,-87.5720172379465,41331819,
